MO,Day,YR,Datetime,DBT,Rhum,Consumed Industrial,Total Consumed,Consumed Residential,Consumed Commercial,Datacenter Contribution (MW),Datacenter Total (MW),Datacenter Cooling (MW),Datacenter Water Gallons
24,24,48528,1/1/20221/1/20221/1/20221/1/20221/1/20221/1/20221/1/20221/1/20221/1/20221/1/20221/1/20221/1/20221/1/20221/1/20221/1/20221/1/20221/1/20221/1/20221/1/20221/1/20221/1/20221/1/20221/1/20221/1/2022,1728,1948.18687308,74890.717816,267848.250803,79945.359331,113012.17366,287637.05918728287,19788.808384282875,464.00838428287545,6860829.34499007
24,48,48528,1/2/20221/2/20221/2/20221/2/20221/2/20221/2/20221/2/20221/2/20221/2/20221/2/20221/2/20221/2/20221/2/20221/2/20221/2/20221/2/20221/2/20221/2/20221/2/20221/2/20221/2/20221/2/20221/2/20221/2/2022,1499,2136.56525792,56765.922103,267010.02115,84972.356819,125271.742225,286661.4873552119,19651.466205211906,326.6662052119064,6380131.718241677
24,72,48528,1/3/20221/3/20221/3/20221/3/20221/3/20221/3/20221/3/20221/3/20221/3/20221/3/20221/3/20221/3/20221/3/20221/3/20221/3/20221/3/20221/3/20221/3/20221/3/20221/3/20221/3/20221/3/20221/3/20221/3/2022,881,1972.6777116399999,90799.438167,337913.81616,139771.110955,107343.267031,357452.53830356745,19538.722143567466,213.92214356746746,5985527.502486139
24,96,48528,1/4/20221/4/20221/4/20221/4/20221/4/20221/4/20221/4/20221/4/20221/4/20221/4/20221/4/20221/4/20221/4/20221/4/20221/4/20221/4/20221/4/20221/4/20221/4/20221/4/20221/4/20221/4/20221/4/20221/4/2022,947,1633.46252371,92245.259094,371705.04961,155426.53168000001,124033.258824,391241.4434702566,19536.393860256554,211.5938602565541,5977378.510897942
24,120,48528,1/5/20221/5/20221/5/20221/5/20221/5/20221/5/20221/5/20221/5/20221/5/20221/5/20221/5/20221/5/20221/5/20221/5/20221/5/20221/5/20221/5/20221/5/20221/5/20221/5/20221/5/20221/5/20221/5/20221/5/2022,1142,1828.74986245,67957.5295188,340005.18301,139752.461846,132295.191644,359565.33267605084,19560.149666050835,235.34966605083778,6060523.831177935
24,144,48528,1/6/20221/6/20221/6/20221/6/20221/6/20221/6/20221/6/20221/6/20221/6/20221/6/20221/6/20221/6/20221/6/20221/6/20221/6/20221/6/20221/6/20221/6/20221/6/20221/6/20221/6/20221/6/20221/6/20221/6/2022,1121,2054.81157532,78748.33699,350587.63005,139936.130359,131903.162684,370148.8237220842,19561.193672084217,236.3936720842184,6064177.852294767
24,168,48528,1/7/20221/7/20221/7/20221/7/20221/7/20221/7/20221/7/20221/7/20221/7/20221/7/20221/7/20221/7/20221/7/20221/7/20221/7/20221/7/20221/7/20221/7/20221/7/20221/7/20221/7/20221/7/20221/7/20221/7/2022,778,1512.66657252,114639.883573,384858.53026,157728.121208,112490.525471,404392.9778098584,19534.447549858374,209.6475498583756,5970566.424504317
24,192,48528,1/8/20221/8/20221/8/20221/8/20221/8/20221/8/20221/8/20221/8/20221/8/20221/8/20221/8/20221/8/20221/8/20221/8/20221/8/20221/8/20221/8/20221/8/20221/8/20221/8/20221/8/20221/8/20221/8/20221/8/2022,944,1314.01789322,64607.414251,363590.12362,159743.829158,139238.880209,383125.9909767905,19535.867356790503,211.06735679050232,5975535.74876676
24,216,48528,1/9/20221/9/20221/9/20221/9/20221/9/20221/9/20221/9/20221/9/20221/9/20221/9/20221/9/20221/9/20221/9/20221/9/20221/9/20221/9/20221/9/20221/9/20221/9/20221/9/20221/9/20221/9/20221/9/20221/9/2022,1197,1964.76435315,41807.3114978,314121.19187,128735.318307,143578.562059,333691.96929062315,19570.77742062313,245.97742062312983,6097720.972180957
24,240,48528,1/10/20221/10/20221/10/20221/10/20221/10/20221/10/20221/10/20221/10/20221/10/20221/10/20221/10/20221/10/20221/10/20221/10/20221/10/20221/10/20221/10/20221/10/20221/10/20221/10/20221/10/20221/10/20221/10/20221/10/2022,1015,1215.14848582,78189.662909,347325.65387,145483.855948,123652.135052,366863.80601979623,19538.152149796217,213.35214979621955,5983532.524286771
