MO,Day,YR,Datetime,DBT,Rhum,Consumed Industrial
1,1,2022,1/1/2022,68,90,3125.282064
1,1,2022,1/1/2022,69,90.91666667,3037.303213
1,1,2022,1/1/2022,69,90.65555556,2974.656383
1,1,2022,1/1/2022,70,88.94642857,2967.656854
1,1,2022,1/1/2022,70,88.11111111,2982.921214
1,1,2022,1/1/2022,70,88.23636364,3047.178486
1,1,2022,1/1/2022,70,88.39285714,2941.69036
1,1,2022,1/1/2022,70,89,2753.76133
1,1,2022,1/1/2022,70,88.57142857,2846.648889
1,1,2022,1/1/2022,71,86.25,3040.206867
1,1,2022,1/1/2022,72,84,3186.754585
1,1,2022,1/1/2022,71,86.92727273,3264.363977
1,1,2022,1/1/2022,71,88.10909091,3300.465335
1,1,2022,1/1/2022,74,80.7804878,3343.470221
1,1,2022,1/1/2022,75,73.83928571,3357.074466
1,1,2022,1/1/2022,77,68.51785714,3355.857029
1,1,2022,1/1/2022,76,68.41071429,3364.532491
1,1,2022,1/1/2022,75,68.80357143,3413.073338
1,1,2022,1/1/2022,75,68.21818182,3336.652262
1,1,2022,1/1/2022,74,70.58928571,3214.89487
1,1,2022,1/1/2022,73,72.08928571,3091.480627
1,1,2022,1/1/2022,73,74,2969.788051
1,1,2022,1/1/2022,73,76.46428571,2906.678029
1,1,2022,1/1/2022,72,78.35714286,3068.326875
1,2,2022,1/2/2022,72,79.47272727,3051.493079
1,2,2022,1/2/2022,72,80,2982.114572
1,2,2022,1/2/2022,73,78.28301887,2942.464604
1,2,2022,1/2/2022,72,78.17857143,2945.665396
1,2,2022,1/2/2022,72,79,2977.636976
1,2,2022,1/2/2022,67,84.14814815,3026.790197
1,2,2022,1/2/2022,63,91.81818182,2567.791418
1,2,2022,1/2/2022,62,93,2209.162111
1,2,2022,1/2/2022,62,93.26785714,2278.302041
1,2,2022,1/2/2022,62,94,2388.787352
1,2,2022,1/2/2022,62,93.39285714,2498.287184
1,2,2022,1/2/2022,62,91.14285714,2565.755174
1,2,2022,1/2/2022,62,90.09090909,2620.151028
1,2,2022,1/2/2022,60,90.12727273,2306.006755
1,2,2022,1/2/2022,59,90.80357143,2154.611095
1,2,2022,1/2/2022,58,91.80357143,2032.504813
1,2,2022,1/2/2022,59,92,2247.988124
1,2,2022,1/2/2022,59,92,2300.23431
1,2,2022,1/2/2022,59,91.96428571,2272.278046
1,2,2022,1/2/2022,58,92,2047.596998
1,2,2022,1/2/2022,57,91.98181818,1814.901417
1,2,2022,1/2/2022,57,92.05357143,1715.96044
1,2,2022,1/2/2022,57,93.01785714,1666.154984
1,2,2022,1/2/2022,53,93.01818182,1153.283989
1,3,2022,1/3/2022,49,92.48214286,1938.092115
1,3,2022,1/3/2022,46,91.25454545,1659.302262
1,3,2022,1/3/2022,40,90.97916667,2348.200612
1,3,2022,1/3/2022,37,91.21428571,2694.357504
1,3,2022,1/3/2022,35,92.6,3067.577278
1,3,2022,1/3/2022,36,92.01785714,3301.742654
1,3,2022,1/3/2022,35,92,3615.849677
1,3,2022,1/3/2022,35,88.45454545,3632.828293
