FIPS,County,State,Energy Burden,Electricity Burden,Gas Burden
13001,Appling County,Georgia,8,5.7,2.3
13003,Atkinson County,Georgia,10.1,6.5,3.6
13005,Bacon County,Georgia,7.8,5.7,2.1
13007,Baker County,Georgia,10.1,7.4,2.7
13009,Baldwin County,Georgia,6.2,4.2,2
13011,Banks County,Georgia,5.5,3.7,1.8
13013,Barrow County,Georgia,4.5,3.1,1.4
13015,Bartow County,Georgia,4.9,3.3,1.6
13017,Ben Hill County,Georgia,10.1,7.3,2.8
13019,Berrien County,Georgia,6.6,4.9,1.7
13021,Bibb County,Georgia,7,4.7,2.3
13023,Bleckley County,Georgia,7.2,4.6,2.6
13025,Brantley County,Georgia,8.4,6.3,2.1
13027,Brooks County,Georgia,8.4,6,2.4
13029,Bryan County,Georgia,4.1,3,1.1
13031,Bulloch County,Georgia,6,4.2,1.8
13033,Burke County,Georgia,7,4.9,2.1
13035,Butts County,Georgia,5.8,4.2,1.6
13037,Calhoun County,Georgia,8.1,5.5,2.6
13039,Camden County,Georgia,4.7,3.4,1.3
13043,Candler County,Georgia,8.5,6.1,2.4
13045,Carroll County,Georgia,4.9,3.3,1.6
13047,Catoosa County,Georgia,4.8,3.3,1.5
13049,Charlton County,Georgia,6.3,5,1.3
13051,Chatham County,Georgia,4.8,3.3,1.5
13053,Chattahoochee County,Georgia,6.7,4,2.7
13055,Chattooga County,Georgia,7.7,5.3,2.4
13057,Cherokee County,Georgia,3.2,2.1,1.1
13059,Clarke County,Georgia,5.9,3.9,2
13061,Clay County,Georgia,9.5,6.5,3
13063,Clayton County,Georgia,5.6,3.6,2
13065,Clinch County,Georgia,7.2,5.1,2.1
13067,Cobb County,Georgia,3.1,2,1.1
13069,Coffee County,Georgia,7.2,5.4,1.8
13071,Colquitt County,Georgia,8.6,5.7,2.9
13073,Columbia County,Georgia,3.6,2.5,1.1
13075,Cook County,Georgia,7.8,5.5,2.3
13077,Coweta County,Georgia,3.8,2.6,1.2
13079,Crawford County,Georgia,6.6,4.7,1.9
13081,Crisp County,Georgia,7.8,5.5,2.3
13083,Dade County,Georgia,6.5,4.2,2.3
13085,Dawson County,Georgia,3.8,2.6,1.2
13087,Decatur County,Georgia,7.5,5.1,2.4
13089,DeKalb County,Georgia,3.8,2.4,1.4
13091,Dodge County,Georgia,8.7,5.8,2.9
13093,Dooly County,Georgia,9,5.9,3.1
13095,Dougherty County,Georgia,7.9,5.8,2.1
13097,Douglas County,Georgia,4.1,2.7,1.4
13099,Early County,Georgia,9.6,6.6,3
13101,Echols County,Georgia,7.4,5.6,1.8
13103,Effingham County,Georgia,4.3,3.2,1.1
13105,Elbert County,Georgia,8.7,6.1,2.6
13107,Emanuel County,Georgia,7.8,5.5,2.3
13109,Evans County,Georgia,6.3,4.5,1.8
13111,Fannin County,Georgia,6.1,4.1,2
13113,Fayette County,Georgia,3.2,2.2,1
13115,Floyd County,Georgia,5.7,3.9,1.8
13117,Forsyth County,Georgia,2.4,1.6,0.8
13119,Franklin County,Georgia,6.2,4.4,1.8
13121,Fulton County,Georgia,3.5,2.2,1.3
13123,Gilmer County,Georgia,4.9,3.1,1.8
13125,Glascock County,Georgia,6.2,4.1,2.1
13127,Glynn County,Georgia,4.9,3.5,1.4
13129,Gordon County,Georgia,6,4.2,1.8
13131,Grady County,Georgia,7.4,5.4,2
13133,Greene County,Georgia,5.1,3.4,1.7
13135,Gwinnett County,Georgia,3.8,2.5,1.3
13137,Habersham County,Georgia,5.5,3.7,1.8
13139,Hall County,Georgia,4.3,3,1.3
13141,Hancock County,Georgia,10.1,6.1,4
13143,Haralson County,Georgia,5.5,3.8,1.7
13145,Harris County,Georgia,4.3,3.1,1.2
13147,Hart County,Georgia,6,4.2,1.8
13149,Heard County,Georgia,6.1,3.9,2.2
13151,Henry County,Georgia,4.2,2.8,1.4
13153,Houston County,Georgia,4.4,3.3,1.1
13155,Irwin County,Georgia,8,5.8,2.2
13157,Jackson County,Georgia,4.3,3.1,1.2
13159,Jasper County,Georgia,6.5,4.3,2.2
13161,Jeff Davis County,Georgia,8,5.9,2.1
13163,Jefferson County,Georgia,8.2,5.4,2.8
13165,Jenkins County,Georgia,11.4,8.4,3
13167,Johnson County,Georgia,7.5,4.9,2.6
13169,Jones County,Georgia,5.4,3.8,1.6
13171,Lamar County,Georgia,6.4,4.3,2.1
13173,Lanier County,Georgia,11,6.7,4.3
13175,Laurens County,Georgia,7.8,5.2,2.6
13177,Lee County,Georgia,4.5,3.2,1.3
13179,Liberty County,Georgia,5.8,4,1.8
13181,Lincoln County,Georgia,7.7,5.1,2.6
13183,Long County,Georgia,5.9,4.5,1.4
13185,Lowndes County,Georgia,5.9,4.2,1.7
13187,Lumpkin County,Georgia,4.7,3.2,1.5
