FIPS,County,Energy Burden,Electricity Burden,Gas Burden
13001,Appling County,8.4,5.5,2.9
13003,Atkinson County,9.9,6.6,3.3
13005,Bacon County,8,5.5,2.5
13007,Baker County,8.5,5.6,2.9
13009,Baldwin County,6.3,4.1,2.2
13011,Banks County,5.1,3.2,1.9
13013,Barrow County,4.5,3,1.5
13015,Bartow County,4.7,3.1,1.6
13017,Ben Hill County,9.9,6.7,3.2
13019,Berrien County,6.7,4.8,1.9
13021,Bibb County,6.9,4.4,2.5
13023,Bleckley County,6.8,4.1,2.7
13025,Brantley County,8.1,6.2,1.9
13027,Brooks County,8.4,5.7,2.7
13029,Bryan County,3.9,2.7,1.2
13031,Bulloch County,5.8,4,1.8
13033,Burke County,7,4.8,2.2
13035,Butts County,5.5,3.8,1.7
13037,Calhoun County,7.7,5.1,2.6
13039,Camden County,4.6,3.2,1.4
13043,Candler County,7,5.1,1.9
13045,Carroll County,4.9,3.2,1.7
13047,Catoosa County,4.8,3.2,1.6
13049,Charlton County,6.9,5.2,1.7
13051,Chatham County,4.7,3.1,1.6
13053,Chattahoochee County,6.7,4,2.7
13055,Chattooga County,7.4,4.9,2.5
13057,Cherokee County,3.2,2,1.2
13059,Clarke County,5.9,3.7,2.2
13061,Clay County,9.1,5.4,3.7
13063,Clayton County,5.7,3.5,2.2
13065,Clinch County,6.6,4.6,2
13067,Cobb County,3.1,1.9,1.2
13069,Coffee County,7,5.1,1.9
13071,Colquitt County,8,5.1,2.9
13073,Columbia County,3.6,2.4,1.2
13075,Cook County,8,5.6,2.4
13077,Coweta County,3.7,2.5,1.2
13079,Crawford County,6.6,4.5,2.1
13081,Crisp County,7.6,4.9,2.7
13083,Dade County,6.1,3.6,2.5
13085,Dawson County,3.8,2.5,1.3
13087,Decatur County,7.5,5.1,2.4
13089,DeKalb County,4,2.4,1.6
13091,Dodge County,8.3,5.4,2.9
13093,Dooly County,8.2,4.5,3.7
13095,Dougherty County,7.8,5.6,2.2
13097,Douglas County,4,2.5,1.5
13099,Early County,8.6,5.7,2.9
13101,Echols County,6.4,4.4,2
13103,Effingham County,4.1,3,1.1
13105,Elbert County,8,5.3,2.7
