FIPS,County,Energy Burden,Electricity Burden,Gas Burden
13001950100,Appling County,6.3,4.2,2.1
13001950201,Appling County,7.5,5,2.5
13001950202,Appling County,12.4,7.4,5.0
13001950301,Appling County,7.6,4.8,2.8
13001950302,Appling County,10.1,7.1,3.0
13001950400,Appling County,7.6,5.6,2.0
13001950500,Appling County,9.6,6.7,2.9
13003960100,Atkinson County,10.2,6.7,3.5
13003960200,Atkinson County,9.3,6.2,3.1
13003960300,Atkinson County,9.5,5.8,3.7
13005970100,Bacon County,6.6,4.6,2.0
13005970201,Bacon County,7.9,5.3,2.6
13005970202,Bacon County,10.3,7.5,2.8
13007960100,Baker County,8.0,5.3,2.7
13007960200,Baker County,8.6,6,2.6
13009970101,Baldwin County,4.2,3.1,1.1
13009970102,Baldwin County,6.1,3.4,2.7
13009970201,Baldwin County,8.8,5.7,3.1
13009970202,Baldwin County,5.1,3.2,1.9
13009970301,Baldwin County,4.0,2.8,1.2
13009970302,Baldwin County,4.3,3,1.3
13009970400,Baldwin County,5.4,3.5,1.9
13009970501,Baldwin County,17.1,11,6.1
13009970502,Baldwin County,0.0,0,1.1
13009970600,Baldwin County,10.1,5.7,4.4
13009970701,Baldwin County,17.7,13.3,4.4
13009970702,Baldwin County,8.0,5,3.0
13009970801,Baldwin County,5.3,3.7,1.6
13009970802,Baldwin County,7.8,4.7,3.1
13011970100,Banks County,6.0,3.8,2.2
13011970200,Banks County,5.0,3,2.0
13011970300,Banks County,4.7,3,1.7
13011970400,Banks County,5.4,3.7,1.7
13013180103,Barrow County,3.1,2,1.1
13013180104,Barrow County,4.3,2.8,1.5
13013180105,Barrow County,4.3,2.8,1.5
13013180106,Barrow County,5.3,3.6,1.7
13013180107,Barrow County,4.3,3.1,1.2
13013180108,Barrow County,4.1,2.5,1.6
13013180203,Barrow County,5.7,3.6,2.1
13013180204,Barrow County,4.9,3,1.9
13013180205,Barrow County,5.5,3.7,1.8
13013180206,Barrow County,5.4,3.8,1.6
13013180301,Barrow County,4.0,2.8,1.2
13013180302,Barrow County,4.5,2.8,1.7
13013180303,Barrow County,4.2,2.8,1.4
13013180401,Barrow County,4.1,2.7,1.4
13013180402,Barrow County,5.1,3.2,1.9
13013180501,Barrow County,4.3,2.6,1.7
13013180502,Barrow County,4.7,2.8,1.9
13013180503,Barrow County,4.8,3.6,1.2
13015960101,Bartow County,4.7,3,1.7
13015960103,Bartow County,3.8,2.6,1.2
13015960104,Bartow County,6.0,3.8,2.2
13015960105,Bartow County,3.4,2.5,0.9
13015960201,Bartow County,3.8,2.8,1.0
13015960202,Bartow County,4.4,2.8,1.6
13015960203,Bartow County,4.9,3.1,1.8
13015960301,Bartow County,4.5,2.9,1.6
13015960302,Bartow County,5.9,3.7,2.2
13015960403,Bartow County,5.4,3.2,2.2
13015960404,Bartow County,5.1,3.1,2.0
13015960405,Bartow County,3.8,2.5,1.3
13015960406,Bartow County,7.5,5.4,2.1
13015960407,Bartow County,2.9,2,0.9
13015960501,Bartow County,5.0,3.3,1.7
13015960502,Bartow County,5.6,3.8,1.8
13015960601,Bartow County,4.4,2.9,1.5
13015960602,Bartow County,5.5,3.6,1.9
13015960701,Bartow County,5.2,3.4,1.8
13015960702,Bartow County,5.8,3.4,2.4
13015960801,Bartow County,6.0,3.6,2.4
13015960802,Bartow County,6.1,4.2,1.9
13015960804,Bartow County,3.5,2.1,1.4
13015960805,Bartow County,6.2,4.3,1.9
13015960901,Bartow County,4.2,2.6,1.6
13015960902,Bartow County,4.1,2.7,1.4
13015961001,Bartow County,3.8,2.6,1.2
13015961002,Bartow County,5.0,3.4,1.6
13017960100,Ben Hill County,8.3,5.2,3.1
13017960200,Ben Hill County,5.7,3.9,1.8
13017960300,Ben Hill County,7.9,5.4,2.5
13017960400,Ben Hill County,11.2,8.1,3.1
13017960501,Ben Hill County,13.4,9,4.4
13017960502,Ben Hill County,10.6,7.1,3.5
13019970100,Berrien County,7.4,4.7,2.7
13019970200,Berrien County,6.9,5.8,1.1
13019970300,Berrien County,6.3,5.4,0.9
13019970400,Berrien County,7.8,5,2.8
13019970500,Berrien County,5.7,3.8,1.9
13019970600,Berrien County,6.9,4.1,2.8
13021010100,Bibb County,22.3,14,8.3
13021010200,Bibb County,12.2,7.5,4.7
13021010400,Bibb County,12.0,7.1,4.9
13021010500,Bibb County,20.6,12,8.6
13021010800,Bibb County,13.0,8,5.0
13021011001,Bibb County,11.1,6.2,4.9
13021011002,Bibb County,4.7,4.7,0.0
13021011100,Bibb County,19.0,11.8,7.2
13021011500,Bibb County,22.1,14.3,7.8
13021011701,Bibb County,9.0,5.6,3.4
13021011702,Bibb County,9.9,6.9,3.0
13021011800,Bibb County,4.9,3.1,1.8
13021011900,Bibb County,4.9,3.1,1.8
13021012000,Bibb County,3.9,2.6,1.3
13021012101,Bibb County,4.8,3.2,1.6
13021012102,Bibb County,4.3,2.7,1.6
13021012200,Bibb County,12.4,8.9,3.5
13021012400,Bibb County,12.1,7.2,4.9
13021012500,Bibb County,9.3,9.3,0.0
13021012600,Bibb County,12.0,7.6,4.4
13021012700,Bibb County,12.8,7.6,5.2
13021012800,Bibb County,13.4,8.7,4.7
13021012900,Bibb County,13.0,8.4,4.6
13021013101,Bibb County,9.6,7,2.6
13021013102,Bibb County,8.4,5,3.4
13021013201,Bibb County,10.6,6.3,4.3
13021013202,Bibb County,12.7,8.4,4.3
13021013302,Bibb County,8.6,5.3,3.3
13021013407,Bibb County,5.4,3.2,2.2
13021013408,Bibb County,3.0,1.9,1.1
13021013409,Bibb County,5.0,3.3,1.7
13021013411,Bibb County,4.0,2.4,1.6
13021013412,Bibb County,3.2,2.1,1.1
13021013413,Bibb County,4.2,2.6,1.6
13021013502,Bibb County,7.0,5.2,1.8
13021013503,Bibb County,3.7,2.4,1.3
13021013505,Bibb County,5.0,3.4,1.6
13021013506,Bibb County,4.1,3.2,0.9
13021013603,Bibb County,5.2,3.9,1.3
13021013604,Bibb County,5.9,4.2,1.7
13021013605,Bibb County,3.6,2.3,1.3
13021013607,Bibb County,4.7,3,1.7
13021013608,Bibb County,3.3,2.4,0.9
13021013701,Bibb County,5.0,2.5,2.5
