State,FIPS,County Name, Solar , Wind , Hydroelectric , Natural Gas , Coal , Oil & Other FF , Other Generation, Traditional TDS , Storage , Smart Grid , Micro Grid , Coal , Petroleum , Natural Gas , Woody Biomass , Corn Ethanol , Other Fuels, ENERGY STAR & Efficient Lighting , Traditional HVAC , High Efficiency HVAC & Renewable H&C , Advanced Materials & Insulation , Other Energy Efficiency, Motor Vehicle
GA,13001,Appling County,0,0,0,0,0,0,2476,211,0,0,12,0,0,0,0,0,0,10,16,33,0,45,181
GA,13003,Atkinson County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,448
GA,13005,Bacon County,0,0,0,0,0,0,0,82,0,0,0,0,0,0,11,0,0,0,0,0,0,0,71
GA,13007,Baker County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GA,13009,Baldwin County,180,0,0,0,0,0,0,52,0,0,11,0,0,0,0,0,0,13,20,40,10,21,118
GA,13011,Banks County,0,0,0,0,0,0,0,14,0,0,17,0,0,0,0,0,0,0,0,12,0,0,49
GA,13013,Barrow County,17,0,0,0,0,0,0,60,0,0,25,0,14,0,0,0,0,28,40,86,31,54,203
GA,13015,Bartow County,29,0,0,0,346,0,0,79,16,0,94,0,22,0,0,0,16,51,81,174,64,88,1639
GA,13017,Ben Hill County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,334
GA,13019,Berrien County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,66,0,0,77
GA,13021,Bibb County,16,0,0,0,0,0,16,326,21,0,68,0,45,0,14,0,44,88,140,294,136,163,660
GA,13023,Bleckley County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,14,0,0,18
GA,13025,Brantley County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,12,0,0,15
GA,13027,Brooks County,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
GA,13029,Bryan County,10,0,0,0,0,0,0,22,0,0,20,0,0,0,0,0,0,11,19,41,16,22,134
GA,13031,Bulloch County,19,0,0,0,0,0,0,92,0,0,22,0,13,0,0,0,11,31,49,99,38,77,308
GA,13033,Burke County,0,0,14,0,0,0,20,303,18,0,0,0,49,0,0,0,0,82,128,260,99,143,133
GA,13035,Butts County,0,0,0,0,0,0,0,51,0,0,11,0,0,0,0,0,0,0,11,20,0,10,153
GA,13037,Calhoun County,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GA,13039,Camden County,11,0,0,0,0,0,0,121,0,0,0,0,0,0,0,0,10,19,30,62,24,32,98
GA,13043,Candler County,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0
GA,13045,Carroll County,28,0,0,0,0,0,0,1287,19,16,55,0,23,0,21,0,27,67,103,217,80,119,1235
GA,13047,Catoosa County,13,0,0,0,0,0,0,61,0,0,16,0,0,0,0,0,0,17,27,64,20,30,371
GA,13049,Charlton County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,17
GA,13051,Chatham County,95,0,15,0,0,0,27,543,48,0,136,0,79,0,0,0,51,177,258,557,204,284,1780
GA,13053,Chattahoochee County,0,0,0,0,0,0,0,25,0,0,0,0,10,0,0,0,0,15,26,49,18,26,64
GA,13055,Chattooga County,0,0,0,0,0,0,0,37,0,0,0,0,0,0,11,0,0,0,10,20,0,11,81
GA,13057,Cherokee County,14,0,0,0,0,0,15,231,40,0,120,0,47,0,0,0,34,111,180,391,151,192,712
GA,13059,Clarke County,11,0,0,0,0,13,0,255,17,0,62,0,26,0,0,0,53,67,110,219,64,120,770
GA,13061,Clay County,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GA,13063,Clayton County,45,0,0,0,0,0,13,1234,77,23,394,0,34,0,0,0,28,79,102,230,90,137,2009
GA,13065,Clinch County,0,0,0,0,0,0,0,37,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0
GA,13067,Cobb County,308,32,73,276,0,25,107,2122,239,32,607,0,392,38,0,17,223,800,1306,2350,950,1365,4248
GA,13069,Coffee County,30,0,0,0,0,0,0,67,0,0,14,0,0,0,16,0,0,32,45,98,46,67,413
GA,13071,Colquitt County,0,0,0,0,0,0,0,164,13,0,48,0,0,0,0,19,0,19,15,32,21,16,160
GA,13073,Columbia County,47,0,27,0,0,0,0,155,14,0,44,0,19,0,0,0,0,55,100,181,64,105,458
GA,13075,Cook County,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,12,0,0,41
GA,13077,Coweta County,28,0,0,185,0,0,0,272,13,0,40,0,20,0,0,0,23,55,78,158,51,103,552
GA,13079,Crawford County,81,0,0,0,0,0,0,12,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0
GA,13081,Crisp County,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,10,16,32,0,17,100
GA,13083,Dade County,0,0,0,0,0,0,0,24,0,0,0,0,12,0,0,0,0,0,12,25,0,13,82
GA,13085,Dawson County,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,15,30,0,16,139
GA,13087,Decatur County,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,12,0,0,15,30,12,16,70
GA,13089,DeKalb County,51,39,67,0,0,15,55,1356,85,10,388,0,324,20,0,15,143,368,667,1173,482,657,3948
GA,13091,Dodge County,0,0,0,0,0,0,0,53,0,0,16,0,0,0,0,0,0,0,0,14,0,0,36
GA,13093,Dooly County,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
