State,FIPS,County Name, Solar , Wind , Hydroelectric , Low-Impact Hydroelectric , Natural Gas , Coal , Oil & Other FF , Other Generation, Traditional TDS , Storage , Smart Grid , Micro Grid & Other Grid Mod , Coal , Petroleum , Natural Gas , Woody Biomass , Corn Ethanol , Other Clean Fuels , Other Fuels, ENERGY STAR & Efficient Lighting , Traditional HVAC , High Efficiency HVAC & Renewable H&C , Advanced Materials & Insulation , Other Energy Efficiency, Motor Vehicles
GA,13001,Appling County,0,0,0,0,0,0,0,0,202,0,0,0,0,0,0,0,0,0,0,0,6,29,0,0,90
GA,13003,Atkinson County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,474
GA,13005,Bacon County,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75
GA,13007,Baker County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GA,13009,Baldwin County,40,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,4,20,35,0,0,25
GA,13011,Banks County,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52
GA,13013,Barrow County,4,0,0,0,0,0,0,9,60,0,0,0,0,4,0,0,0,0,0,30,39,75,27,0,205
GA,13015,Bartow County,25,0,0,0,0,47,0,25,88,0,0,6,0,23,0,0,0,0,0,55,79,40,56,0,737
GA,13017,Ben Hill County,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,354
GA,13019,Berrien County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80
GA,13021,Bibb County,2,3,0,0,0,0,0,62,333,4,0,5,0,47,0,63,0,0,20,94,43,257,96,0,700
GA,13023,Bleckley County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,0,0,9
GA,13025,Brantley County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,6
GA,13027,Brooks County,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
GA,13029,Bryan County,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,2,9,36,4,0,42
GA,13031,Bulloch County,5,0,0,0,0,0,0,5,94,0,0,0,0,3,0,0,0,0,0,34,50,87,33,0,326
GA,13033,Burke County,0,5,4,0,0,0,0,47,320,2,0,0,0,52,0,3,0,0,0,89,30,228,86,0,40
GA,13035,Butts County,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,2,0,7,0,25,62
GA,13037,Calhoun County,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GA,13039,Camden County,0,0,0,0,0,0,0,2,20,0,0,0,0,0,0,0,0,0,0,20,30,54,20,0,4
GA,13043,Candler County,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
GA,13045,Carroll County,22,0,0,0,0,0,0,37,304,3,0,0,0,24,0,20,0,0,0,72,6,90,69,0,309
GA,13047,Catoosa County,39,0,0,0,0,0,0,2,64,0,0,0,0,0,0,0,0,0,0,8,27,50,7,0,393
GA,13049,Charlton County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,8
GA,13051,Chatham County,88,20,5,0,0,0,0,4,566,32,0,29,2,83,0,0,0,0,30,90,269,494,75,24,886
GA,13053,Chattahoochee County,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,6,27,43,6,0,68
GA,13055,Chattooga County,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,86
GA,13057,Cherokee County,0,0,0,0,0,0,0,59,249,26,0,23,0,49,0,0,0,0,5,75,228,346,7,0,754
GA,13059,Clarke County,0,0,0,0,0,0,0,38,263,0,0,3,0,27,0,0,0,0,24,72,3,93,54,0,806
GA,13061,Clay County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GA,13063,Clayton County,35,0,0,0,0,0,0,52,90,52,0,64,0,36,0,0,0,0,3,80,4,200,78,0,2029
GA,13065,Clinch County,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0
GA,13067,Cobb County,356,82,75,8,526,0,22,400,2237,66,9,37,42,400,45,0,37,35,0,857,302,2066,822,67,4500
GA,13069,Coffee County,27,0,0,0,0,0,0,0,67,0,0,0,0,0,0,6,0,0,0,34,46,87,40,0,437
GA,13071,Colquitt County,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,2,2,0,20,5,28,3,0,69
GA,13073,Columbia County,36,0,27,0,0,0,0,30,63,0,0,0,0,20,0,0,0,0,0,59,3,59,56,0,485
GA,13075,Cook County,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43
GA,13077,Coweta County,22,0,0,0,330,0,0,29,269,0,0,0,0,22,0,0,0,0,0,59,77,34,42,0,585
GA,13079,Crawford County,63,0,0,0,0,0,0,0,2,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
GA,13081,Crisp County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,28,0,0,6
GA,13083,Dade County,0,0,0,0,0,0,0,0,24,0,0,0,0,3,0,0,0,0,0,0,2,22,0,0,87
GA,13085,Dawson County,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,6,27,0,0,47
GA,13087,Decatur County,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,5,26,0,0,74
GA,13089,DeKalb County,907,54,68,6,634,582,7,756,396,2,0,78,28,339,30,0,22,20,67,384,636,4,393,48,4083
GA,13091,Dodge County,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,38
GA,13093,Dooly County,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
GA,13095,Dougherty County,28,0,0,0,0,0,0,86,68,5,0,3,0,34,0,8,0,0,2,87,22,222,79,0,834
GA,13097,Douglas County,73,0,0,0,0,0,0,38,345,0,0,0,0,20,0,0,0,0,0,66,84,55,56,0,786
GA,13099,Early County,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GA,13101,Echols County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GA,13103,Effingham County,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,6,0,0,0,2,6,32,0,0,6
GA,13105,Elbert County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203
GA,13107,Emanuel County,0,0,0,0,0,0,0,0,29,0,0,0,0,22,0,0,0,0,0,0,2,20,0,0,209
