State,FIPS,County Name, Solar , Wind , Hydroelectric , Low-Impact Hydroelectric , Natural Gas , Coal , Oil & Other FF , Other Generation, Traditional TDS , Storage , Smart Grid , Micro Grid , Other Grid Mod , Coal , Petroleum , Natural Gas , Woody Biomass , Corn Ethanol , Other Clean Fuels , Other Fuels, ENERGY STAR & Efficient Lighting , Traditional HVAC , High Efficiency HVAC & Renewable H&C , Advanced Materials & Insulation , Other Energy Efficiency, Motor Vehicles
GA,13001,Appling County,0,0,0,0,0,0,0,1033,15,0,0,0,0,0,0,0,0,0,0,0,12,17,29,0,0,115
GA,13003,Atkinson County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,355
GA,13005,Bacon County,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,142
GA,13007,Baker County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
GA,13009,Baldwin County,147,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,15,22,36,0,0,162
GA,13011,Banks County,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,59
GA,13013,Barrow County,14,0,0,0,0,0,0,0,167,0,0,0,0,0,12,0,0,0,0,0,32,41,76,28,0,290
GA,13015,Bartow County,26,0,0,0,0,39,0,0,494,18,0,17,10,0,20,0,0,0,0,0,58,83,144,58,0,1089
GA,13017,Ben Hill County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,516
GA,13019,Berrien County,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134
GA,13021,Bibb County,13,0,14,0,26,0,0,16,287,0,0,16,0,0,63,0,67,0,20,16,108,151,262,100,0,816
GA,13023,Bleckley County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,13,0,0,28
GA,13025,Brantley County,0,0,0,0,0,0,0,0,46,0,0,0,0,0,11,0,21,0,0,0,0,0,11,0,0,18
