State,FIPS,County Name, Solar , Wind , Hydroelectric , Low-Impact Hydroelectric , Natural Gas , Coal , Oil & Other FF , Other Generation , Traditional TDS , Storage , Smart Grid , Micro Grid , Other Grid Mod , Coal , Petroleum , Natural Gas , Woody Biomass , Corn Ethanol , Other Clean Fuels , Other Fuels , ENERGY STAR & Efficient Lighting , Traditional HVAC , High Efficiency HVAC & Renewable H&C , Advanced Materials & Insulation , Other Energy Efficiency , Motor Vehicles 
GA,13001,Appling County,0,0,0,0,0,0,0,1350,12,0,0,0,0,0,0,0,0,0,0,0,13,18,30,0,0,139
GA,13003,Atkinson County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,285
GA,13005,Bacon County,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,182
GA,13007,Baker County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GA,13009,Baldwin County,153,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,16,23,36,10,0,136
GA,13011,Banks County,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,61
GA,13013,Barrow County,15,0,0,0,0,0,0,0,245,0,0,0,0,0,13,0,0,0,0,0,34,43,77,29,0,385
GA,13015,Bartow County,27,0,0,0,0,31,0,35,466,20,0,0,11,0,21,0,0,0,0,0,66,86,146,61,0,1196
GA,13017,Ben Hill County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,526
GA,13019,Berrien County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194
GA,13021,Bibb County,14,10,10,0,26,0,0,0,237,0,0,0,10,0,101,0,69,0,0,16,118,157,265,105,0,882
GA,13023,Bleckley County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,13,0,0,29
GA,13025,Brantley County,0,0,0,0,0,0,0,0,51,0,0,0,0,0,17,0,21,0,0,0,0,0,11,0,0,21
GA,13027,Brooks County,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
GA,13029,Bryan County,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,14,21,37,15,0,162
GA,13031,Bulloch County,17,0,0,0,0,0,0,0,89,0,0,0,0,0,13,0,0,0,0,0,39,55,90,36,0,442
GA,13033,Burke County,0,11,13,0,36,0,0,2336,2652,0,0,0,0,0,46,10,14,0,0,0,103,145,235,94,0,159
GA,13035,Butts County,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,14,12,18,11,26,275
GA,13037,Calhoun County,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GA,13039,Camden County,0,0,0,0,0,0,0,0,15,0,0,0,0,0,39,0,0,0,0,0,24,33,56,23,0,112
GA,13043,Candler County,0,0,0,0,0,0,0,0,138,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,21
GA,13045,Carroll County,24,0,0,0,12,0,0,0,659,0,0,0,0,0,21,0,22,0,0,0,83,117,196,76,0,1360
GA,13047,Catoosa County,43,0,0,0,0,0,0,0,27,0,0,0,0,0,28,0,0,0,0,0,21,30,52,19,0,514
GA,13049,Charlton County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,27
GA,13051,Chatham County,96,16,14,0,40,0,0,10,461,0,0,12,19,0,74,10,0,0,0,24,281,313,563,245,55,1801
GA,13053,Chattahoochee County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,30,44,17,0,25
GA,13055,Chattooga County,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,11,0,0,0,0,11,18,0,0,86
GA,13057,Cherokee County,13,0,0,0,22,0,0,0,475,0,0,10,15,0,46,0,0,0,0,12,224,256,370,131,16,1246
GA,13059,Clarke County,0,0,0,0,18,0,0,0,351,0,0,0,0,0,35,0,0,0,0,19,83,124,198,59,0,645
GA,13061,Clay County,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GA,13063,Clayton County,39,0,0,0,21,0,0,0,1674,0,11,27,42,0,32,0,0,0,0,10,93,115,207,85,0,2224
GA,13065,Clinch County,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,10
GA,13067,Cobb County,401,63,72,32,196,0,17,67,1846,36,21,58,90,10,369,59,0,28,30,81,994,1471,2129,897,70,4491
GA,13069,Coffee County,30,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,17,0,0,0,40,50,89,43,0,664
GA,13071,Colquitt County,0,0,0,0,0,0,0,0,184,0,0,0,0,0,0,0,0,0,10,0,23,17,29,14,0,150
GA,13073,Columbia County,40,0,26,12,69,0,0,0,83,122,0,0,0,0,18,0,0,0,0,0,78,120,166,62,0,848
GA,13075,Cook County,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,82
