State,County,FIPS,Year,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days CO,Days NO2,Days Ozone,Days PM2.5,Days PM10
Georgia,Bibb,13021,2018,362,308,53,1,0,0,0,106,56,35,0,0,168,194,0
Georgia,Charlton,13049,2018,114,113,1,0,0,0,0,60,34,20,0,0,0,114,0
Georgia,Chatham,13051,2018,363,315,48,0,0,0,0,74,53,36,0,0,113,250,0
Georgia,Chattooga,13055,2018,245,224,21,0,0,0,0,87,50,35,0,0,245,0,0
Georgia,Clarke,13059,2018,332,262,68,2,0,0,0,105,58,39,0,0,151,181,0
Georgia,Clayton,13063,2018,120,101,19,0,0,0,0,67,54,33,0,0,0,120,0
Georgia,Cobb,13067,2018,286,234,52,0,0,0,0,100,58,39,0,0,225,61,0
Georgia,Coffee,13069,2018,116,112,4,0,0,0,0,65,37,22,0,0,0,116,0
Georgia,Columbia,13073,2018,245,223,22,0,0,0,0,90,50,36,0,0,245,0,0
Georgia,Dawson,13085,2018,245,222,21,2,0,0,0,108,50,35,0,0,245,0,0
Georgia,DeKalb,13089,2018,365,277,88,0,0,0,0,100,58,40,0,36,147,182,0
Georgia,Dougherty,13095,2018,357,293,63,1,0,0,0,137,57,30,0,0,0,357,0
Georgia,Douglas,13097,2018,242,214,28,0,0,0,0,93,51,37,0,0,242,0,0
Georgia,Floyd,13115,2018,333,226,107,0,0,0,0,80,60,40,0,0,0,333,0
Georgia,Fulton,13121,2018,365,232,129,4,0,0,0,133,66,44,1,35,114,215,0
Georgia,Glynn,13127,2018,272,255,17,0,0,0,0,74,46,34,0,0,225,47,0
Georgia,Gwinnett,13135,2018,361,245,116,0,0,0,0,87,62,43,0,0,122,239,0
Georgia,Hall,13139,2018,322,282,40,0,0,0,0,68,52,30,0,0,0,322,0
Georgia,Henry,13151,2018,354,293,58,3,0,0,0,115,58,34,0,0,187,167,0
Georgia,Houston,13153,2018,322,259,61,2,0,0,0,108,58,34,0,0,0,322,0
Georgia,Lowndes,13185,2018,315,264,51,0,0,0,0,93,54,37,0,0,0,315,0
Georgia,Murray,13213,2018,271,241,30,0,0,0,0,100,51,37,0,0,222,49,0
Georgia,Muscogee,13215,2018,364,305,59,0,0,0,0,98,55,34,0,0,178,186,0
Georgia,Pike,13231,2018,288,274,13,1,0,0,0,115,46,33,0,0,288,0,0
Georgia,Richmond,13245,2018,364,269,91,4,0,0,0,150,59,39,0,0,115,239,10
Georgia,Rockdale,13247,2018,243,200,41,2,0,0,0,112,61,36,0,0,243,0,0
Georgia,Sumter,13261,2018,241,219,22,0,0,0,0,80,50,34,0,0,241,0,0
Georgia,Walker,13295,2018,347,269,78,0,0,0,0,72,56,35,0,0,0,347,0
Georgia,Washington,13303,2018,121,110,11,0,0,0,0,67,50,28,0,0,0,121,0
