MO,Day,YR,Datetime,DBT,Rhum,Consumed Industrial,Total Consumed,Consumed Residential,Consumed Commercial
1,1,2022,1/1/2022,68,90,3125.282064,10326.1847,2480.111234,4720.791399
1,1,2022,1/1/2022,69,90.91666667,3037.303213,10008.47845,2213.79941,4757.375826
1,1,2022,1/1/2022,69,90.65555556,2974.656383,9750.400931,1956.081654,4819.662894
1,1,2022,1/1/2022,70,88.94642857,2967.656854,9679.453882,1837.396113,4874.400915
1,1,2022,1/1/2022,70,88.11111111,2982.921214,9657.475767,1702.273617,4972.280936
1,1,2022,1/1/2022,70,88.23636364,3047.178486,9785.471396,1624.654013,5113.638897
1,1,2022,1/1/2022,70,88.39285714,2941.69036,9896.453357,2020.538258,4934.224739
1,1,2022,1/1/2022,70,89,2753.76133,10146.51367,2804.559582,4588.192762
1,1,2022,1/1/2022,70,88.57142857,2846.648889,10691.953,3158.008683,4687.295424
1,1,2022,1/1/2022,71,86.25,3040.206867,11293.42899,3371.752227,4881.469895
1,1,2022,1/1/2022,72,84,3186.754585,11742.10272,3568.785131,4986.563008
1,1,2022,1/1/2022,71,86.92727273,3264.363977,12039.44877,3725.833098,5049.251698
1,1,2022,1/1/2022,71,88.10909091,3300.465335,12161.98464,3858.832018,5002.687291
1,1,2022,1/1/2022,74,80.7804878,3343.470221,12217.0676,3983.141514,4890.455862
1,1,2022,1/1/2022,75,73.83928571,3357.074466,12259.75504,4094.197289,4808.483288
1,1,2022,1/1/2022,77,68.51785714,3355.857029,12233.57744,4171.50193,4706.218481
1,1,2022,1/1/2022,76,68.41071429,3364.532491,12344.87305,4306.453285,4673.887275
1,1,2022,1/1/2022,75,68.80357143,3413.073338,12620.1686,4500.706442,4706.388824
1,1,2022,1/1/2022,75,68.21818182,3336.652262,12411.19485,4504.779631,4569.762952
1,1,2022,1/1/2022,74,70.58928571,3214.89487,12079.6398,4464.42771,4400.317221
1,1,2022,1/1/2022,73,72.08928571,3091.480627,11752.14232,4411.194896,4249.466797
1,1,2022,1/1/2022,73,74,2969.788051,11393.14089,4310.259635,4113.0932
1,1,2022,1/1/2022,73,76.46428571,2906.678029,10920.5007,3930.938386,4082.884288
1,1,2022,1/1/2022,72,78.35714286,3068.326875,10436.84024,2945.133575,4423.379788
1,2,2022,1/2/2022,72,79.47272727,3051.493079,10117.54304,2568.739752,4497.310207
1,2,2022,1/2/2022,72,80,2982.114572,9856.60862,2309.018086,4565.475963
1,2,2022,1/2/2022,73,78.28301887,2942.464604,9692.062276,2144.662118,4604.935553
1,2,2022,1/2/2022,72,78.17857143,2945.665396,9636.908361,1945.134648,4746.108317
1,2,2022,1/2/2022,72,79,2977.636976,9676.442287,1836.034088,4862.771223
1,2,2022,1/2/2022,67,84.14814815,3026.790197,9759.66705,1327.007456,5405.869397
1,2,2022,1/2/2022,63,91.81818182,2567.791418,9973.917486,1443.327072,5962.798997
1,2,2022,1/2/2022,62,93,2209.162111,10291.3626,2601.389866,5480.810621
1,2,2022,1/2/2022,62,93.26785714,2278.302041,10831.16902,3006.267155,5546.59982
1,2,2022,1/2/2022,62,94,2388.787352,11199.91485,3139.359317,5671.768177
1,2,2022,1/2/2022,62,93.39285714,2498.287184,11574.47098,3315.51244,5760.67136
1,2,2022,1/2/2022,62,91.14285714,2565.755174,11771.9916,3474.551513,5731.684911
1,2,2022,1/2/2022,62,90.09090909,2620.151028,11932.75855,3646.522043,5666.085476
1,2,2022,1/2/2022,60,90.12727273,2306.006755,11990.1889,4110.620142,5573.562001
1,2,2022,1/2/2022,59,90.80357143,2154.611095,11976.1627,4388.671467,5432.880138
1,2,2022,1/2/2022,58,91.80357143,2032.504813,12121.37211,4718.447768,5370.419526
1,2,2022,1/2/2022,59,92,2247.988124,12372.3095,4790.349034,5333.972347
1,2,2022,1/2/2022,59,92,2300.23431,12661.51914,5020.280078,5341.00475
1,2,2022,1/2/2022,59,91.96428571,2272.278046,12554.4812,5081.585953,5200.617203
1,2,2022,1/2/2022,58,92,2047.596998,12245.8367,5180.375597,5017.864109
1,2,2022,1/2/2022,57,91.98181818,1814.901417,11871.63679,5219.152621,4837.582754
1,2,2022,1/2/2022,57,92.05357143,1715.96044,11444.24859,5074.701391,4653.58676
1,2,2022,1/2/2022,57,93.01785714,1666.154984,10959.39598,4624.101747,4669.139248
1,2,2022,1/2/2022,53,93.01818182,1153.283989,10498.05282,4006.545467,5338.223367
1,3,2022,1/3/2022,49,92.48214286,1938.092115,10296.86209,2977.978669,5380.791309
1,3,2022,1/3/2022,46,91.25454545,1659.302262,10194.32736,3423.255244,5111.769852
1,3,2022,1/3/2022,40,90.97916667,2348.200612,10296.01198,3642.371979,4305.439387
1,3,2022,1/3/2022,37,91.21428571,2694.357504,10662.26991,3856.181196,4111.731208
1,3,2022,1/3/2022,35,92.6,3067.577278,11357.89586,4139.85402,4150.464559
1,3,2022,1/3/2022,36,92.01785714,3301.742654,12452.43042,4531.109558,4619.578211
1,3,2022,1/3/2022,35,92,3615.849677,13562.73116,5327.837252,4619.044227
1,3,2022,1/3/2022,35,88.45454545,3632.828293,14472.38189,6405.305739,4434.247853
1,3,2022,1/3/2022,35,85.91071429,3827.655704,15017.37983,6750.217021,4439.507101
1,3,2022,1/3/2022,35,83.83636364,4105.576135,15412.26068,6790.629882,4516.054667
1,3,2022,1/3/2022,35,80.85714286,4314.393785,15508.82048,6688.982927,4505.443771
1,3,2022,1/3/2022,35,78.92857143,4424.33661,15275.93562,6450.13848,4401.460533
1,3,2022,1/3/2022,36,77.07142857,4394.48867,14953.55161,6207.162193,4351.900747
1,3,2022,1/3/2022,37,73.75925926,4360.500155,14697.04943,6013.148018,4323.401259
1,3,2022,1/3/2022,38,71.23214286,4318.808918,14525.59714,5883.911349,4322.876872
1,3,2022,1/3/2022,39,69.65454545,4335.8127,14699.35851,5933.220741,4430.325069
1,3,2022,1/3/2022,39,69.25,4521.323454,15304.98999,6194.250715,4589.415825
1,3,2022,1/3/2022,37,71.43636364,4886.2801,16068.51592,6554.685308,4627.550509
1,3,2022,1/3/2022,36,74.46428571,4874.014748,16165.04591,6728.570957,4562.460206
1,3,2022,1/3/2022,35,77.23214286,4736.275312,16123.5421,6919.523611,4467.743179
1,3,2022,1/3/2022,34,79.25,4449.796745,15866.53326,7092.781993,4323.954522
1,3,2022,1/3/2022,33,81.41071429,4015.051743,15367.8205,7226.505865,4126.262889
1,3,2022,1/3/2022,32,83.36363636,3629.759926,14944.80777,7235.423788,4079.624052
1,3,2022,1/3/2022,32,84.01785714,3347.413067,14687.69674,6798.06445,4542.219224
1,4,2022,1/4/2022,31,85.60714286,4853.990989,14539.57508,4811.351961,4874.232134
1,4,2022,1/4/2022,31,86.82142857,4614.827013,14532.59392,5022.493145,4895.273758
