Time,Net Generation Model,CO2 Emission Model,Total Cost Model
1/1/2023 0:00,19825,22.93,768280.5
1/1/2023 1:00,19480,22.46,751256.5
1/1/2023 2:00,19158,22.01,735296.5
1/1/2023 3:00,18927,21.7,723972.5
1/1/2023 4:00,18837,21.58,719488.5
1/1/2023 5:00,18992,21.79,727088.5
1/1/2023 6:00,19211,22.09,737956.5
1/1/2023 7:00,19426,22.38,748520.5
1/1/2023 8:00,19626,21.55,659714.5
1/1/2023 9:00,20412,22.62,698474.5
1/1/2023 10:00,20734,22.5,664958.5
1/1/2023 11:00,20823,22.62,669404.5
1/1/2023 12:00,20949,22.79,675560.5
1/1/2023 13:00,21061,22.95,681108.5
1/1/2023 14:00,21038,22.92,680082.5
1/1/2023 15:00,21078,22.97,681944.5
1/1/2023 16:00,21109,23.68,742744.5
1/1/2023 17:00,21539,24.27,763986.5
1/1/2023 18:00,22578,26.68,904244.5
1/1/2023 19:00,22545,26.64,902648.5
1/1/2023 20:00,22012,25.91,876314.5
1/1/2023 21:00,21573,25.31,854692.5
1/1/2023 22:00,20939,24.45,823380.5
1/1/2023 23:00,20191,23.43,786368.5
1/2/2023 0:00,19837,22.94,768888.5
1/2/2023 1:00,19316,22.23,743162.5
1/2/2023 2:00,19044,21.86,729596.5
1/2/2023 3:00,19056,21.87,730242.5
1/2/2023 4:00,19172,22.03,735980.5
1/2/2023 5:00,19163,22.02,735524.5
1/2/2023 6:00,19985,23.14,776146.5
1/2/2023 7:00,20913,24.41,822050.5
1/2/2023 8:00,21513,24.12,752890.5
1/2/2023 9:00,22352,25.26,794234.5
1/2/2023 10:00,23040,25.65,778958.5
1/2/2023 11:00,23109,25.74,782226.5
1/2/2023 12:00,23194,25.86,786482.5
1/2/2023 13:00,23229,25.91,788192.5
1/2/2023 14:00,23286,25.98,791004.5
1/2/2023 15:00,23491,26.26,801150.5
1/2/2023 16:00,23494,26.93,860506.5
1/2/2023 17:00,23703,27.22,870880.5
1/2/2023 18:00,24868,29.81,1017408.5
1/2/2023 19:00,24968,29.94,1022272.5
1/2/2023 20:00,24090,28.75,979028.5
1/2/2023 21:00,23453,27.88,947450.5
1/2/2023 22:00,22265,26.26,888778.5
1/2/2023 23:00,20576,23.95,805406.5
1/3/2023 0:00,19754,22.83,764784.5
1/3/2023 1:00,19403,22.35,747380.5
1/3/2023 2:00,19645,22.68,759388.5
1/3/2023 3:00,19362,22.29,745366.5
1/3/2023 4:00,19414,22.36,747950.5
1/3/2023 5:00,19959,23.11,774968.5
1/3/2023 6:00,21024,24.56,827560.5
