timestamp,0_dekalb,0_forsyth,0_fulton,total_energy_kWh
2018-01-01 00:00:00,394132.948,81840.429,510937.676,986911.053
2018-01-01 01:00:00,583518.3,121485.14,768986.301,1473989.741
2018-01-01 02:00:00,590586.2629999999,122934.778,787659.973,1501181.014
2018-01-01 03:00:00,619415.603,132066.53,802610.2100000001,1554092.343
2018-01-01 04:00:00,651686.767,140150.603,853770.457,1645607.827
2018-01-01 05:00:00,684205.3600000001,149354.498,923074.108,1756633.966
2018-01-01 06:00:00,742458.6259999999,164497.68099999998,1024703.444,1931659.751
2018-01-01 07:00:00,824838.953,174508.549,1077392.367,2076739.869
2018-01-01 08:00:00,788998.325,175789.845,1097696.9989999998,2062485.1689999998
2018-01-01 09:00:00,786045.021,171803.81699999998,1066245.578,2024094.416
2018-01-01 10:00:00,692678.428,167121.659,996514.206,1856314.293
2018-01-01 11:00:00,631621.0989999999,143438.62300000002,878602.578,1653662.2999999998
2018-01-01 12:00:00,548909.399,128063.234,774140.689,1451113.322
2018-01-01 13:00:00,482830.20700000005,112293.108,665007.203,1260130.5180000002
2018-01-01 14:00:00,461440.41,102167.688,618123.814,1181731.912
2018-01-01 15:00:00,461487.228,103743.417,621725.866,1186956.511
2018-01-01 16:00:00,552680.743,114612.838,658786.623,1326080.204
2018-01-01 17:00:00,592941.056,123684.917,723317.546,1439943.5189999999
2018-01-01 18:00:00,631569.7760000001,146889.75400000002,816878.7109999999,1595338.241
2018-01-01 19:00:00,669077.752,158044.32,873185.501,1700307.5729999999
2018-01-01 20:00:00,694640.2339999999,158327.036,892583.3289999999,1745550.599
2018-01-01 21:00:00,701403.665,150390.221,906725.44,1758519.326
2018-01-01 22:00:00,707597.129,136779.75400000002,825092.4990000001,1669469.382
2018-01-01 23:00:00,573889.149,118644.568,714752.1680000001,1407285.885
2018-01-02 00:00:00,511593.19000000006,108960.635,647975.756,1268529.5810000002
2018-01-02 01:00:00,478311.775,99667.283,615641.32,1193620.378
2018-01-02 02:00:00,484917.723,101773.883,624758.63,1211450.236
2018-01-02 03:00:00,496615.88,105577.331,629817.216,1232010.4270000001
2018-01-02 04:00:00,518277.623,112834.267,656415.9550000001,1287527.8450000002
2018-01-02 05:00:00,493535.869,107497.344,657833.996,1258867.209
2018-01-02 06:00:00,593044.598,120261.766,744165.752,1457472.116
2018-01-02 07:00:00,635326.4299999999,134753.632,818575.3119999999,1588655.3739999998
2018-01-02 08:00:00,678086.23,137077.284,814434.583,1629598.097
2018-01-02 09:00:00,612974.8019999999,137062.816,773653.689,1523691.307
2018-01-02 10:00:00,583942.554,136588.761,761632.2829999999,1482163.5979999998
2018-01-02 11:00:00,593508.127,127564.12300000002,750296.824,1471369.074
2018-01-02 12:00:00,587439.084,126244.13,726121.162,1439804.3760000002
2018-01-02 13:00:00,551834.605,125601.539,706634.691,1384070.835
2018-01-02 14:00:00,481322.158,113819.373,610659.603,1205801.134
2018-01-02 15:00:00,480757.063,107440.23,588103.74,1176301.033
2018-01-02 16:00:00,520829.466,105868.115,627567.416,1254264.997
2018-01-02 17:00:00,569718.78,118593.413,675872.298,1364184.491
2018-01-02 18:00:00,613874.65,140706.98200000002,776286.0939999999,1530867.7259999998
2018-01-02 19:00:00,695668.824,151937.246,842403.504,1690009.574
2018-01-02 20:00:00,776181.571,141402.234,834367.369,1751951.1739999999
2018-01-02 21:00:00,718049.1939999999,136300.521,797732.633,1652082.3479999998
2018-01-02 22:00:00,575566.906,116707.592,703404.05,1395678.548
2018-01-02 23:00:00,472158.506,96038.747,607675.373,1175872.6260000002
2018-01-03 00:00:00,406760.357,84658.963,536265.219,1027684.5390000001
2018-01-03 01:00:00,379305.547,77843.503,498524.176,955673.226
2018-01-03 02:00:00,382143.134,79100.95400000001,500862.558,962106.6460000001
2018-01-03 03:00:00,388276.143,81895.22200000001,505083.79,975255.155
2018-01-03 04:00:00,408423.432,87998.218,532071.6340000001,1028493.284
2018-01-03 05:00:00,443446.496,97944.247,576490.169,1117880.912
2018-01-03 06:00:00,493792.167,111184.533,658356.853,1263333.5529999998
2018-01-03 07:00:00,570290.111,123663.11,737195.8219999999,1431149.043
2018-01-03 08:00:00,594749.727,130698.685,743787.2849999999,1469235.697
2018-01-03 09:00:00,604853.844,135980.349,765268.98,1506103.173
2018-01-03 10:00:00,597979.897,141081.468,762843.888,1501905.253
2018-01-03 11:00:00,588258.9979999999,128094.804,712470.6699999999,1428824.4719999998
2018-01-03 12:00:00,564227.585,124006.49,683528.75,1371762.825
2018-01-03 13:00:00,537188.8539999999,120475.399,649036.29,1306700.543
2018-01-03 14:00:00,467265.127,113805.22,634920.452,1215990.799
2018-01-03 15:00:00,468257.878,112656.697,650957.088,1231871.6630000002
2018-01-03 16:00:00,567109.623,115640.342,691622.967,1374372.932
2018-01-03 17:00:00,686361.277,135114.092,776729.1359999999,1598204.505
2018-01-03 18:00:00,765657.5,158335.52500000002,880403.73,1804396.755
2018-01-03 19:00:00,741195.301,153339.858,911804.992,1806340.151
2018-01-03 20:00:00,738864.382,154778.44900000002,905073.234,1798716.065
2018-01-03 21:00:00,689961.808,148694.84999999998,877850.728,1716507.386
2018-01-03 22:00:00,609188.701,133114.405,773908.038,1516211.1439999999
2018-01-03 23:00:00,512215.938,110983.529,670257.502,1293456.969
2018-01-04 00:00:00,468633.338,99930.179,616394.791,1184958.308
2018-01-04 01:00:00,475636.3239999999,102405.501,621390.0819999999,1199431.907
2018-01-04 02:00:00,476145.07699999993,104172.475,626046.5490000001,1206364.101
2018-01-04 03:00:00,498532.928,108115.492,642520.069,1249168.489
2018-01-04 04:00:00,524858.8640000001,116687.456,690020.9990000001,1331567.3190000001
2018-01-04 05:00:00,561679.561,126758.242,753515.813,1441953.616
2018-01-04 06:00:00,648602.521,145752.093,879570.2819999999,1673924.8959999997
2018-01-04 07:00:00,701677.244,163176.19199999998,964128.079,1828981.5150000001
2018-01-04 08:00:00,739600.3099999999,169342.51,1003243.912,1912186.7319999998
2018-01-04 09:00:00,747880.069,178189.071,1041658.889,1967728.029
2018-01-04 10:00:00,753277.108,177598.364,1062414.992,1993290.4640000002
2018-01-04 11:00:00,777838.22,178942.155,1026647.282,1983427.6570000001
2018-01-04 12:00:00,743209.493,173926.784,984496.077,1901632.354
2018-01-04 13:00:00,719260.0249999999,157320.461,949863.933,1826444.4189999998
2018-01-04 14:00:00,698886.03,155382.978,962710.609,1816979.617
2018-01-04 15:00:00,707108.183,158488.881,947119.787,1812716.851
2018-01-04 16:00:00,749072.873,159651.38,975518.651,1884242.904
2018-01-04 17:00:00,787314.477,172646.125,1049554.102,2009514.704
2018-01-04 18:00:00,839323.933,188043.918,1106817.731,2134185.582
2018-01-04 19:00:00,889074.1799999999,202041.058,1147405.008,2238520.246
2018-01-04 20:00:00,909193.587,182287.955,1145415.259,2236896.801
2018-01-04 21:00:00,882679.681,179190.44799999995,1138329.052,2200199.181
2018-01-04 22:00:00,776317.431,170799.878,1024624.348,1971741.6570000001
2018-01-04 23:00:00,718923.244,156960.918,956794.816,1832678.9780000001
2018-01-05 00:00:00,654008.842,140440.041,902905.033,1697353.916
2018-01-05 01:00:00,630539.297,131611.365,857640.4979999999,1619791.16
2018-01-05 02:00:00,639951.365,132262.207,859798.024,1632011.596
2018-01-05 03:00:00,647876.703,140260.399,861952.8369999999,1650089.9389999998
